stdio    D         file_stdio.c:105  file_stdio_fopen                 [   0.00000] opening C:\Users\Chris\Dropbox\Chris Mahon = Final Year Project\src\Game\2DPlatformer\Debug\allegro5.cfg r
system   I             system.c:242  al_install_system                [   0.00000] Allegro version: 5.1.13 (WIP)
system   D            wsystem.c:674  maybe_parent_dir                 [   0.00058] Also searching C:\Users\Chris\Dropbox\Chris Mahon = Final Year Project\src\Game\2DPlatformer\
system   D            wsystem.c:724  _al_win_safe_load_library        [   0.00092] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D            wsystem.c:635  load_library_at_path             [   0.00102] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I            wsystem.c:638  load_library_at_path             [   0.01567] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I         d3d_disp.cpp:674  d3d_init_display                 [   0.04545] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1769 d3d_create_display_locked        [   0.04708] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1770 d3d_create_display_locked        [   0.04713] al_display=011F9930
d3d      D         d3d_disp.cpp:1771 d3d_create_display_locked        [   0.04717] al_display->vt=011AF378
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.06578] found 288 format combinations
display  D   display_settings.c:212  debug_display_settings           [   0.06584] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.06588] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.06591] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.06594] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.06596] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.06600] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.06609] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.06616] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.06620] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.06624] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.06626] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.06630] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.06632] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.06637] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.06640] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
